"ID";"Lake";"object_annotation_category";"Community";"Major_mm";"Taille0.8";"Taille1"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,70596;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55544;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,54272;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5406;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,7049;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55332;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,63918;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,67416;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59254;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,50244;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66568;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6042;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,60208;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,37524;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,52258;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5618;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,69324;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6042;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,69006;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,61904;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55756;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56286;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,6148;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66886;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,76532;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,59572;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,62434;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5353;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,583;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,66674;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,46958;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,5618;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,51198;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,60314;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,56498;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,55756;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,49608;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,73988;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,58512;"Petit";"Petit"
"Cob1";"Baie_Cobb";"Calanoida";"SAFO";0,75472;"Petit";"Petit"
